Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Apartamento;Engenho Novo;2;1;0;69;1250.0;600.0;0.0;4761;18.12;Apartamento
Apartamento;Camorim;2;1;0;48;1000.0;340.0;90.0;2304;20.83;Apartamento
Apartamento;Leblon;4;2;2;240;17900.0;5000.0;1000.0;57600;74.58;Apartamento
Apartamento;Laranjeiras;4;2;1;350;10000.0;3000.0;403.0;122500;28.57;Apartamento
Apartamento;Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0;7569;26.44;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0;4900;21.43;Apartamento
Apartamento;Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0;5625;25.33;Apartamento
Apartamento;Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0;6400;43.75;Apartamento
Casa de Condomínio;Barra da Tijuca;5;6;5;1050;15000.0;2000.0;2000.0;1102500;14.29;Casa
Apartamento;Copacabana;3;0;2;130;4000.0;950.0;200.0;16900;30.77;Apartamento
Apartamento;Cascadura;3;0;0;58;990.0;100.0;0.0;3364;17.07;Apartamento
Apartamento;Humaitá;2;1;0;72;2900.0;815.0;96.0;5184;40.28;Apartamento
Apartamento;Jacarepaguá;2;1;2;68;1700.0;739.0;0.0;4624;25.0;Apartamento
Apartamento;São Conrado;4;2;1;230;5150.0;2225.0;350.0;52900;22.39;Apartamento
Apartamento;Pechincha;2;1;1;61;1000.0;489.0;0.0;3721;16.39;Apartamento
Apartamento;Urca;3;1;1;220;16000.0;2757.0;544.0;48400;72.73;Apartamento
Apartamento;Copacabana;3;1;0;290;8000.0;2032.0;7000.0;84100;27.59;Apartamento
Apartamento;Tijuca;2;1;0;72;1500.0;734.0;0.0;5184;20.83;Apartamento
Apartamento;Praia da Bandeira;2;1;0;90;1400.0;480.0;85.0;8100;15.56;Apartamento
Casa;Ramos;2;0;0;40;950.0;0.0;0.0;1600;23.75;Casa
