to_postcode,to_country_id
04517-100,64
04517150,64
04520000,64
04520010,32
04520-010,32
04520-012,32
04520-013,64
04521000,64
04521-004,32
04521005,32
04521020,32
04522031,32
04522032,32
04522-033,96
04523001,32
04523-015,32
04524-001,32
04524-020,32
04530000,32
04530-000,64
04530050,32
04530-050,96
04530070,160
04530-090,32
04531-010,64
04531-011,32
04531020,128
04531-020,32
04532010,32
04532-010,32
04532-011,32
04532-012,32
04532060,96
04532-060,32
04532-070,32
04532080,32
04533-000,64
04533050,32
04533-085,32
04534010,32
04534013,96
04534040,64
04535000,32
04536000,32
04536001,32
04536-020,32
04537001,32
04537-070,32
04537080,32
04537082,32
04538-002,64
04538083,32
04538110,160
04538-110,32
04542000,64
04542-000,32
04542-001,32
04542030,32
04542-080,64
04543- 011,32
04543011,128
04544000,64
04544-150,32
04545000,32
04545-000,32
04545003,64
04545050,32
04545-050,64
04545100,96
04546001,64
04546-001,128
04546003,32
04546080,32
04547001,64
04547-002,32
04547-003,32
04547-005,32
04548-000,96
04548002,32
04548-002,32
04548003,32
04548-004,32
04549010,32
04549-012,64
04550-001,32
04550-004,32
04550081,32
04550-081,32
04550-902,96
04551-010,64
04552020,64
04552050,32
04552-050,32
04553-012,32
04555-002,32
04555-003,32
04558-001,64
04559-010,96
04560001,64
04560-001,96
04560012,64
04560020,64
04560-021,32
04560-908,32
04561000,32
04561-000,32
04561001,32
04561004,32
04561-004,64
04562000,64
04562-000,32
04562030,32
04564000,96
04565-000,64
04566000,32
04566-000,32
04566-001,64
04566060,32
04567-000,96
04569-001,32
04569-011,32
04571011,32
04571090,32
04571-090,32
04575-050,32
04576-020,64
04576-060,32
04580-000,32
04580050,32
04580-050,32
04580051,32
04583001,32
04601000,32
04601-003,64
04601041,96
04602000,64
04602-000,96
04603039,32
04604-000,32
04605004,32
04605010,32
04606000,32
04606-001,32
04606004,96
04606-004,32
04607001,32
04608001,32
04608-001,32
04609000,64
04610-000,32
04610001,32
04610-003,96
04610010,32
04611000,32
04611-060,96
04614-000,64
04616000,32
04616-004,96
04616005,32
04616-005,32
04616-030,96
04617-000,64
04617-011,32
04618-003,32
04618020,32
04618033,32
04618034,64
04618-034,32
04618-035,96
04619001,32
04619002,96
04619-002,32
04619003,32
04619005,32
04619-005,32
04619034,96
04619-034,64
04620010,32
04620-010,192
04622001,32
04622-040,32
04623000,32
